"Carimbo de data/hora","Faculdade","Esporte","Transporte"
"2026/05/20 7:26:48 AM GMT-3","CESAR School","Futebol","Táxi / Transporte de aplicativo"
"2026/05/20 7:27:58 AM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 7:31:51 AM GMT-3","UFPE","Natação","Transporte público"
"2026/05/20 7:32:27 AM GMT-3","UPE","Futebol","Transporte público"
"2026/05/20 7:50:51 AM GMT-3","UPE","Automobilismo","Transporte público"
"2026/05/20 8:07:26 AM GMT-3","CESAR School","Futebol","Carro"
"2026/05/20 8:31:02 AM GMT-3","UFPE","Futebol","Carro"
"2026/05/20 8:32:19 AM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 8:33:54 AM GMT-3","UFPE","Tênis","Carro"
"2026/05/20 8:34:32 AM GMT-3","UFPE","Basquete","Carro"
"2026/05/20 8:34:59 AM GMT-3","UFPE","Xadrez","Transporte público"
"2026/05/20 8:40:27 AM GMT-3","UFPE","E-Sports","Transporte público"
"2026/05/20 8:41:30 AM GMT-3","UFPE","Automobilismo","Carro"
"2026/05/20 8:42:02 AM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 8:43:33 AM GMT-3","UFPE","Futebol","Carro"
"2026/05/20 8:46:55 AM GMT-3","UFPE","Vôlei","Carro"
"2026/05/20 8:48:50 AM GMT-3","UFPE","Futebol","Carro"
"2026/05/20 8:52:02 AM GMT-3","UPE","Futebol","Transporte público"
"2026/05/20 8:57:04 AM GMT-3","UFPE","Vôlei","A Pé"
"2026/05/20 8:58:04 AM GMT-3","UFPE","Nenhum","Carro"
"2026/05/20 9:00:54 AM GMT-3","UFPE","Ballet","Moto"
"2026/05/20 9:08:36 AM GMT-3","UFPE","Basquete","Transporte público"
"2026/05/20 9:25:08 AM GMT-3","CESAR School","Futebol","Transporte público"
"2026/05/20 9:26:41 AM GMT-3","UFPE","Vôlei","Carro"
"2026/05/20 9:28:46 AM GMT-3","UPE","Vôlei","Transporte público"
"2026/05/20 9:39:10 AM GMT-3","CESAR School","Futebol","Carro"
"2026/05/20 10:10:43 AM GMT-3","CESAR School","Futebol","Transporte público"
"2026/05/20 10:27:24 AM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 12:15:32 PM GMT-3","CESAR School","Futebol","Táxi / Transporte de aplicativo"
"2026/05/20 12:16:11 PM GMT-3","CESAR School","Futebol","Transporte público"
"2026/05/20 12:16:47 PM GMT-3","CESAR School","Futebol","Transporte público"
"2026/05/20 12:17:22 PM GMT-3","CESAR School","Futebol","Táxi / Transporte de aplicativo"
"2026/05/20 12:49:14 PM GMT-3","UFPE","Vôlei","Carro"
"2026/05/20 12:56:59 PM GMT-3","CESAR School","Futebol","Transporte público"
"2026/05/20 12:58:46 PM GMT-3","UPE","Vôlei","Transporte público"
"2026/05/20 1:27:24 PM GMT-3","UFPE","Basquete","Transporte público"
