Faculdade,Esporte,Transporte
CESAR School,Futebol,Táxi / Transporte de aplicativo
UFPE,Futebol,Transporte público
UFPE,Outros,Transporte público
UPE,Futebol,Transporte público
UPE,Automobilismo,Transporte público
CESAR School,Futebol,Carro
UFPE,Futebol,Carro
UFPE,Futebol,Transporte público
UFPE,Outros,Carro
UFPE,Basquete,Carro
UFPE,Outros,Transporte público
UFPE,E-Sports,Transporte público
UFPE,Automobilismo,Carro
UFPE,Futebol,Transporte público
UFPE,Futebol,Carro
UFPE,Vôlei,Carro
UFPE,Futebol,Carro
UPE,Futebol,Transporte público
UFPE,Vôlei,A Pé
UFPE,Nenhum,Carro
UFPE,Outros,Moto
UFPE,Basquete,Transporte público
CESAR School,Futebol,Transporte público
UFPE,Vôlei,Carro
UPE,Vôlei,Transporte público
CESAR School,Futebol,Carro
CESAR School,Futebol,Transporte público
UFPE,Futebol,Transporte público
CESAR School,Futebol,Táxi / Transporte de aplicativo
CESAR School,Futebol,Transporte público
CESAR School,Futebol,Transporte público
CESAR School,Futebol,Táxi / Transporte de aplicativo
UFPE,Vôlei,Carro
CESAR School,Futebol,Transporte público
UPE,Vôlei,Transporte público
UFPE,Basquete,Transporte público
UFPE,Automobilismo,Carro
UFPE,Automobilismo,Transporte público
UFPE,Futebol,Transporte público
UFPE,Futebol,Transporte público
UFPE,Futebol,Transporte público
UFPE,Futebol,Transporte público
UFPE,Futebol,Carro
UFPE,Futebol,Carro
UFPE,Basquete,Transporte público
UFPE,Automobilismo,Transporte público
UFPE,Futebol,Transporte público
UFPE,Futebol,Transporte público
UFPE,Automobilismo,Transporte público
UFPE,Futebol,Transporte público
UFPE,Vôlei,Transporte público
UFPE,Futebol,Carro
UFPE,Futebol,Transporte público
UFPE,Futebol,Transporte público
UFPE,Futebol,Carro
UFPE,Futebol,Transporte público
UFPE,Futebol,Carro
UPE,Basquete,Transporte público
Outros,Futebol,Transporte público
UFPE,Futebol,Transporte público
UFPE,Vôlei,Carro
UFPE,Vôlei,Transporte público
Outros,Futebol,Transporte público
UFPE,Futebol,A Pé
UFPE,Futebol,Transporte público
UFPE,Outros,Transporte público
UFPE,Outros,Transporte público
UFPE,Nenhum,Transporte público
UFPE,Automobilismo,Transporte público
UFPE,Futebol,Transporte público
CESAR School,Automobilismo,Carro
UFPE,Futebol,Carro
UFPE,Outros,Transporte público
UFPE,Futebol,Carro
UPE,Vôlei,Transporte público
UPE,Futebol,Transporte público
UFPE,Futebol,Transporte público
UFPE,Futebol,Transporte público
UFPE,Basquete,Transporte público
Outros,Nenhum,Transporte público
UFPE,Futebol,Transporte público
UFPE,Automobilismo,A Pé
UFPE,Automobilismo,A Pé
Outros,Outros,Transporte público
CESAR School,Futebol,Transporte público
UFPE,Futebol,Táxi / Transporte de aplicativo
UFPE,Futebol,Transporte público
UFPE,Nenhum,Táxi / Transporte de aplicativo
UFPE,Nenhum,Carro
UFPE,Basquete,Transporte público
UPE,Futebol,Carro
UPE,E-Sports,Transporte público
UFPE,Futebol,A Pé
UFPE,Futebol,Moto
UFPE,Nenhum,Transporte público
UFPE,Automobilismo,Transporte público
UFPE,Outros,Transporte público
UFPE,Nenhum,Transporte público
UFPE,Futebol,Carro
UFPE,Futebol,Transporte público
UFPE,Futebol,Transporte público
UPE,Nenhum,Transporte público
UPE,Futebol,Transporte público
Outros,Futebol,Táxi / Transporte de aplicativo
UFPE,Vôlei,Transporte público
UFPE,Vôlei,Transporte público
CESAR School,Outros,Carro
CESAR School,Artes Marciais,Carro
CESAR School,Automobilismo,Outro
CESAR School,Futebol,Carro
UPE,Futebol,Transporte público
UPE,Futebol,Transporte público
CESAR School,Vôlei,Moto
UFPE,Vôlei,Transporte público
CESAR School,Futebol,Transporte público
CESAR School,Futebol,Táxi / Transporte de aplicativo
CESAR School,Futebol,Táxi / Transporte de aplicativo
CESAR School,Futebol,Transporte público
